eb_slope,ti_slope,tag
3,0.99976301,FALSE
2,1.002315214,FALSE
1.67,1.00455891,FALSE
2,0.975559136,FALSE
1.5,0.976680984,FALSE
1.5,0.977269955,FALSE
1.6,0.979457558,FALSE
1.4,0.979766067,FALSE
1.5,0.980383083,FALSE
2,0.979457558,FALSE
3,1.005063742,TRUE
2.5,1.005428343,TRUE
3,1.008569517,TRUE
2,1.019395352,TRUE
1.67,1.023293774,TRUE
1,1.026182533,TRUE
2,1.013673926,TRUE
1.5,1.012580124,TRUE
4,1.013421511,TRUE
2,1.017179702,TRUE
1.67,0.993289282,FALSE
2,0.996218779,FALSE
2.5,0.997113903,FALSE
0.67,0.996408654,FALSE
0.71,0.995811905,FALSE
1.67,0.99583903,FALSE
1.67,0.996679904,FALSE
1.4,1.023506499,FALSE
1.5,1.020821127,FALSE
0.8,0.979862422,FALSE
1.5,0.999175401,TRUE
2,1.001101274,TRUE
1.5,1.002349022,TRUE
4,1.001833648,TRUE
2,1.002077773,TRUE
2,0.999121151,TRUE
3,0.996110279,TRUE
2.5,0.996354404,TRUE
2,1.002376147,TRUE
2.5,1.003949396,TRUE
1.67,0.999028044,FALSE
1.25,0.998288512,FALSE
0.75,0.998182865,FALSE
2.33,0.998130041,FALSE
2,0.998420572,FALSE
1.67,0.999212927,FALSE
1.33,0.998948809,FALSE
1,0.999424222,FALSE
1.33,0.99939781,FALSE
0.33,0.999028044,FALSE
2,1.000744814,TRUE
2,1.000876873,TRUE
3,1.001589993,TRUE
3,1.001722052,TRUE
3,1.001642817,TRUE
2,1.0018277,TRUE
2,1.001325875,TRUE
3,1.000744814,TRUE
3,1.000982521,TRUE
2,1.000480696,TRUE
2,0.988690618,FALSE
1,0.99349499,FALSE
1,0.998108279,FALSE
1.33,1.000319382,FALSE
1,1.000728845,FALSE
1.5,0.998818015,FALSE
1.5,0.999418562,FALSE
2,0.9978626,FALSE
1.5,0.998190171,FALSE
1.5,0.999500455,FALSE
2,1.00157507,TRUE
2,1.002421294,TRUE
3,1.00269427,TRUE
2,1.005069158,TRUE
2,1.003131031,TRUE
3,1.002148319,TRUE
4,1.002776163,TRUE
1.5,1.002148319,TRUE
3,1.001602367,TRUE
3,1.001302094,TRUE
2,0.994352607,FALSE
1,0.998333972,FALSE
1,1.000712103,FALSE
2,0.994352607,FALSE
1,0.998333972,FALSE
2,0.995367989,FALSE
1,0.996543694,FALSE
1,0.996249768,FALSE
2,0.994913739,FALSE
1,0.996223047,FALSE
5,1.001994691,TRUE
2,1.00196797,TRUE
2.33,1.002555823,TRUE
2.5,1.002368779,TRUE
3,1.003036793,TRUE
4,1.002555823,TRUE
2.5,1.005468365,TRUE
2.33,1.005067556,TRUE
3,1.00477363,TRUE
2.5,1.004827071,TRUE
2,0.99150441,FALSE
1,0.99966126,FALSE
1,0.999498665,FALSE
1.5,0.999200575,FALSE
1,0.999498665,FALSE
1,0.999579963,FALSE
1.5,0.999742558,FALSE
1.5,0.999254773,FALSE
2,0.99968836,FALSE
1.5,0.999579963,FALSE
3,1.001991789,TRUE
2,1.000718128,TRUE
3,1.003997127,TRUE
2,1.000880723,TRUE
2,1.000582632,TRUE
3,1.001097516,TRUE
3,1.000284541,TRUE
2,1.000772326,TRUE
3,1.000826525,TRUE
3,1.0016395,TRUE
1,0.999559224,FALSE
1,0.999295286,FALSE
1,0.999374467,FALSE
1,0.999057742,FALSE
1,0.998582653,FALSE
2,1.000139887,FALSE
1,0.998609047,FALSE
0.5,0.998582653,FALSE
1,0.999110529,FALSE
1,1.000034312,FALSE
2,1.000588582,TRUE
1,1.00148597,TRUE
1,1.001644333,TRUE
2,1.001459577,TRUE
1,1.000852519,TRUE
2,1.000694157,TRUE
2,1.00029825,TRUE
1,1.000060706,TRUE
1,1.000377431,TRUE
1,1.000192675,TRUE
1.33,0.996164078,FALSE
1,0.998996594,FALSE
0.75,1.000867124,FALSE
1,1.000038747,FALSE
1.33,1.00009219,FALSE
0.75,1.000038747,FALSE
1.33,0.997900998,FALSE
1.67,0.999771528,FALSE
1.67,0.999824972,FALSE
1.67,0.999691363,FALSE
2,1.000626628,TRUE
2.5,1.001214508,TRUE
2.33,1.001535171,TRUE
2.5,1.00268421,TRUE
3,1.000626628,TRUE
2.5,0.998996594,TRUE
3,0.99792772,TRUE
2,1.001080899,TRUE
2,1.000786959,TRUE
2,1.001134343,TRUE
1.25,0.995317082,FALSE
1,0.999592499,FALSE
1.67,1.001088895,FALSE
1.5,0.998897744,FALSE
0.67,0.998523645,FALSE
1,0.99999332,FALSE
1,0.999913156,FALSE
1.5,1.000020041,FALSE
1,0.99999332,FALSE
1.5,0.99980627,FALSE
3,0.998470202,TRUE
2,0.999752827,TRUE
2.33,1.000875124,TRUE
2,1.001810372,TRUE
2.5,1.000046762,TRUE
3,1.001596601,TRUE
2.67,1.001783651,TRUE
2.5,1.001329387,TRUE
3,1.000313976,TRUE
3,1.000875124,TRUE
1.25,0.999730203,FALSE
2,0.99846057,FALSE
1.67,0.998566373,FALSE
